,ticker,company_name,marketcap_display,sell_side_rating,quant_rating,authors_rating,eps_revisions_category,growth_category,momentum_category,profitability_category,value_category,dividend_yield,is_top_tated
0,GOOG,Alphabet Inc.,2.03459E+12,4.31579,4.98313253,3.75,3,4,2,1,11,,FALSE
1,TCOM,Trip.com Group Limited,31519756300,4.66667,4.934939759,3.5,2,1,2,2,8,,FALSE
2,GM,General Motors Company,50713358000,4.06897,4.968674699,3.44444,1,2,2,1,3,0.87699574,FALSE
3,TM,Toyota Motor Corporation,3.11108E+11,3,4.948192771,2.8,1,1,2,2,8,0.88284135,FALSE
4,HMY,Harmony Gold Mining Company Limited,5481134100,2,4.951807229,3,1,1,1,3,8,1.3635075,FALSE
5,EAT,"Brinker International, Inc.",2444753920,3.15789,4.922891566,4,1,5,2,6,7,,FALSE
6,ANF,Abercrombie & Fitch Co.,6152793600,3.6,4.977108434,2.75,2,1,1,3,9,,FALSE
7,GPS,"The Gap, Inc.",7406752800,3.27273,4.920481928,3,3,3,1,5,4,3.0257187,FALSE
271,ANYYY,"Aena S.M.E., S.A.",27547088900,5,4.706024096,4,1,1,6,3,6,2.8197734,TRUE
9,TOL,"Toll Brothers, Inc.",12450398200,3.9,4.914457831,3.66667,1,9,1,3,8,0.7195448,FALSE
10,AMX,"América Móvil, S.A.B. de C.V.",59616289000,4.23077,4.909638554,2,2,6,5,1,2,116.12272,FALSE
11,TSM,Taiwan Semiconductor Manufacturing Company Limited,6.15754E+11,4.33333,4.896385542,4.23529,5,6,2,1,9,1.4324492,FALSE
12,SHG,"Shinhan Financial Group Co., Ltd.",16970422300,5,4.9,,2,7,3,1,4,3.51328,FALSE
13,ALL,The Allstate Corporation,45270598000,3.90909,4.93253012,3,3,1,2,3,6,2.0925624,FALSE
14,MOD,Modine Manufacturing Company,4817731100,4.5,4.969879518,2.5,1,2,1,5,11,,FALSE
115,AMWD,American Woodmark Corporation,1474247420,3.5,4.768674699,3.5,1,2,3,6,4,,TRUE
